상담ID,고객ID,상담일시,상담유형,상담시간(분),상담원ID,상담평가,재상담필요
CALL000001,CUST003335,2024-07-19 18:00:00,신청,3,CS19,5,False
CALL000002,CUST004302,2023-09-12 10:00:00,기술지원,3,CS46,1,False
CALL000003,CUST003260,2024-05-14 12:00:00,요금조회,18,CS06,5,False
CALL000004,CUST002093,2024-11-21 16:00:00,신청,21,CS28,4,False
CALL000005,CUST000607,2024-07-25 11:00:00,불만,8,CS20,5,False
CALL000006,CUST003854,2023-12-08 14:00:00,홍보,20,CS09,5,False
CALL000007,CUST000290,2023-12-29 09:00:00,기술지원,16,CS13,2,False
CALL000008,CUST001327,2024-04-16 17:00:00,기술지원,4,CS46,4,False
CALL000009,CUST000889,2024-11-05 18:00:00,요금조회,28,CS07,4,False
CALL000010,CUST001104,2024-10-18 14:00:00,요금조회,24,CS25,4,False
CALL000011,CUST002310,2023-07-06 12:00:00,요금조회,16,CS23,5,False
CALL000012,CUST003048,2024-10-17 08:00:00,기술지원,21,CS18,2,False
CALL000013,CUST001536,2024-09-11 14:00:00,불만,22,CS19,4,False
CALL000014,CUST002996,2024-12-19 18:00:00,기술지원,21,CS08,4,False
CALL000015,CUST003443,2023-10-17 17:00:00,기술지원,4,CS48,5,False
CALL000016,CUST004383,2024-01-21 14:00:00,요금조회,12,CS13,4,False
CALL000017,CUST004132,2024-07-13 11:00:00,기술지원,5,CS30,5,False
CALL000018,CUST002190,2023-09-29 17:00:00,홍보,22,CS12,5,True
CALL000019,CUST001322,2024-03-15 08:00:00,신청,20,CS30,4,False
CALL000020,CUST000389,2023-09-30 15:00:00,불만,11,CS31,4,False
CALL000021,CUST003027,2024-06-07 12:00:00,기술지원,2,CS43,4,False
CALL000022,CUST000517,2023-06-05 09:00:00,신청,3,CS25,4,False
CALL000023,CUST002745,2024-03-30 08:00:00,불만,20,CS34,2,False
CALL000024,CUST001197,2023-06-06 16:00:00,기술지원,18,CS24,3,False
CALL000025,CUST000300,2023-12-13 09:00:00,홍보,2,CS31,5,False
CALL000026,CUST001078,2024-01-31 10:00:00,홍보,24,CS27,3,False
CALL000027,CUST000565,2023-06-13 13:00:00,홍보,14,CS49,4,True
CALL000028,CUST004049,2024-08-16 11:00:00,신청,26,CS03,5,False
CALL000029,CUST003360,2024-10-07 14:00:00,요금조회,24,CS28,3,False
CALL000030,CUST003023,2023-10-09 16:00:00,기술지원,20,CS45,4,False
CALL000031,CUST004098,2024-07-13 10:00:00,불만,25,CS14,5,False
CALL000032,CUST003794,2023-01-01 16:00:00,기술지원,9,CS17,4,False
CALL000033,CUST002131,2024-08-10 11:00:00,요금조회,8,CS39,4,False
CALL000034,CUST001671,2023-09-30 16:00:00,불만,29,CS19,4,False
CALL000035,CUST001764,2024-02-14 16:00:00,신청,3,CS12,3,False
CALL000036,CUST000460,2024-12-14 16:00:00,기술지원,9,CS40,4,False
CALL000037,CUST002929,2023-08-22 17:00:00,요금조회,23,CS03,4,False
CALL000038,CUST001025,2023-02-12 14:00:00,신청,12,CS18,3,False
CALL000039,CUST003577,2023-05-21 12:00:00,불만,3,CS28,5,False
CALL000040,CUST001189,2024-02-09 15:00:00,신청,4,CS05,5,False
CALL000041,CUST004473,2023-06-04 16:00:00,불만,2,CS31,4,False
CALL000042,CUST002372,2024-03-31 17:00:00,요금조회,23,CS21,2,False
CALL000043,CUST002407,2024-08-12 09:00:00,기술지원,19,CS22,5,False
CALL000044,CUST000404,2024-03-11 08:00:00,홍보,1,CS07,2,False
CALL000045,CUST000169,2024-09-30 09:00:00,신청,21,CS33,5,False
CALL000046,CUST004766,2023-04-02 12:00:00,요금조회,17,CS36,4,False
CALL000047,CUST002107,2023-03-17 11:00:00,불만,11,CS29,4,False
CALL000048,CUST004597,2023-04-26 17:00:00,불만,18,CS02,5,False
CALL000049,CUST003872,2023-09-12 13:00:00,요금조회,1,CS06,5,False
CALL000050,CUST001118,2024-11-08 17:00:00,신청,9,CS32,1,True
CALL000051,CUST001497,2024-10-17 10:00:00,홍보,22,CS40,3,True
CALL000052,CUST002847,2023-07-29 14:00:00,불만,15,CS40,1,True
CALL000053,CUST003783,2023-04-21 11:00:00,요금조회,19,CS37,2,False
CALL000054,CUST001722,2023-08-07 15:00:00,신청,16,CS13,5,False
CALL000055,CUST000046,2024-02-22 08:00:00,신청,13,CS12,5,False
CALL000056,CUST001428,2023-12-16 10:00:00,불만,8,CS20,4,False
CALL000057,CUST002817,2023-09-12 08:00:00,기술지원,23,CS45,4,False
CALL000058,CUST001452,2023-09-18 13:00:00,홍보,27,CS12,3,False
CALL000059,CUST004841,2024-07-23 16:00:00,기술지원,1,CS03,4,False
CALL000060,CUST000458,2023-04-07 14:00:00,신청,13,CS11,4,False
CALL000061,CUST002705,2023-12-07 08:00:00,홍보,11,CS19,4,False
CALL000062,CUST002108,2023-06-19 13:00:00,불만,5,CS36,5,False
CALL000063,CUST004219,2023-10-13 12:00:00,홍보,1,CS15,2,False
CALL000064,CUST004517,2024-05-22 10:00:00,기술지원,18,CS29,5,True
CALL000065,CUST002887,2023-09-26 09:00:00,요금조회,1,CS20,3,True
CALL000066,CUST000540,2024-09-23 09:00:00,불만,11,CS18,5,False
CALL000067,CUST003402,2024-03-15 13:00:00,요금조회,6,CS50,1,False
CALL000068,CUST002212,2024-10-27 08:00:00,신청,3,CS18,4,False
CALL000069,CUST000496,2023-07-17 12:00:00,홍보,15,CS05,5,False
CALL000070,CUST001167,2023-10-08 08:00:00,요금조회,11,CS50,3,False
CALL000071,CUST003566,2024-08-03 14:00:00,홍보,22,CS32,5,False
CALL000072,CUST001276,2024-02-16 09:00:00,신청,2,CS11,5,False
