불만ID,고객ID,접수일시,카테고리,내용,상태,만족도,해결완료일
COMP000001,CUST001301,2024-11-10 21:00:00,기술,정기점검을 안 해줬어요,접수,5,2024-02-16
COMP000002,CUST004567,2024-10-18 12:00:00,기타,상담원 친절도가 떨어져요,완료,3,
COMP000003,CUST002740,2023-06-02 17:00:00,공급,청구서 오류가 있습니다,완료,3,2023-08-06
COMP000004,CUST001547,2024-09-19 01:00:00,기타,고객센터 응답이 느려요,완료,1,2023-03-09
COMP000005,CUST000579,2023-01-12 20:00:00,서비스,계약 변경이 어려워요,보류,5,
COMP000006,CUST003302,2023-06-10 16:00:00,기술,상담원 친절도가 떨어져요,처리중,4,2024-09-30
COMP000007,CUST000653,2024-04-25 15:00:00,기술,상담원 친절도가 떨어져요,보류,2,2023-03-10
COMP000008,CUST003868,2023-06-19 02:00:00,기술,공급이 자주 끊겨요,완료,3,
COMP000009,CUST004451,2024-05-18 10:00:00,안전,공급이 자주 끊겨요,완료,3,2024-09-05
COMP000010,CUST001169,2023-09-04 10:00:00,서비스,환불이 안 되네요,접수,1,2023-04-15
COMP000011,CUST001231,2023-10-12 01:00:00,공급,앱 사용이 불편해요,처리중,4,
COMP000012,CUST002415,2024-06-03 07:00:00,공급,앱 사용이 불편해요,완료,5,
COMP000013,CUST003507,2024-07-17 20:00:00,안전,가스 냄새가 심합니다,완료,4,
COMP000014,CUST003844,2024-01-23 12:00:00,서비스,계약 변경이 어려워요,처리중,4,2023-09-15
COMP000015,CUST004204,2023-08-29 02:00:00,안전,앱 사용이 불편해요,접수,1,
COMP000016,CUST000502,2024-04-15 14:00:00,안전,앱 사용이 불편해요,완료,3,2024-10-08
COMP000017,CUST002085,2024-08-09 14:00:00,요금,환불이 안 되네요,처리중,4,
COMP000018,CUST001146,2023-04-01 15:00:00,안전,계약 변경이 어려워요,완료,4,
COMP000019,CUST004179,2024-04-02 10:00:00,요금,환불이 안 되네요,완료,5,
COMP000020,CUST001004,2023-05-02 15:00:00,요금,청구서 오류가 있습니다,완료,3,
COMP000021,CUST002870,2024-10-31 00:00:00,안전,환불이 안 되네요,완료,2,2024-10-12
COMP000022,CUST004656,2023-04-16 12:00:00,기술,환불이 안 되네요,접수,1,
COMP000023,CUST002399,2024-02-27 01:00:00,기술,요금이 지난달보다 많이 나왔어요,완료,3,
COMP000024,CUST004120,2024-07-24 17:00:00,기타,요금이 지난달보다 많이 나왔어요,보류,3,
COMP000025,CUST004720,2023-01-01 02:00:00,기술,정기점검을 안 해줬어요,접수,3,
