고객ID,가입일,지역,고객타입,계약기간,요금제
CUST000001,2023-11-24,광주,산업,장기,프리미엄
CUST000002,2023-02-27,대전,상업,장기,기본
CUST000003,2023-01-13,울산,공공,2년,기본
CUST000004,2023-05-21,대구,산업,1년,할인
CUST000005,2023-05-06,광주,주택,1년,할인
CUST000006,2023-04-25,강원,상업,2년,기본
CUST000007,2023-03-13,인천,주택,장기,할인
CUST000008,2023-02-22,광주,공공,1년,기본
CUST000009,2023-12-13,울산,주택,장기,기본
CUST000010,2023-10-07,대구,산업,2년,프리미엄
CUST000011,2023-02-14,대전,산업,장기,기본
CUST000012,2023-10-30,울산,공공,1년,할인
CUST000013,2023-08-05,울산,주택,장기,프리미엄
CUST000014,2023-01-17,인천,공공,장기,프리미엄
CUST000015,2023-01-16,부산,주택,1년,할인
CUST000016,2023-02-17,대구,상업,1년,할인
CUST000017,2023-04-22,경기,산업,장기,할인
CUST000018,2023-04-30,울산,공공,장기,기본
CUST000019,2023-09-16,부산,상업,2년,프리미엄
CUST000020,2023-11-05,경기,상업,1년,기본
CUST000021,2023-01-14,대구,공공,장기,기본
CUST000022,2023-10-15,서울,공공,1년,기본
CUST000023,2023-04-12,강원,상업,2년,기본
CUST000024,2023-11-29,부산,주택,장기,프리미엄
CUST000025,2023-12-26,세종,상업,장기,프리미엄
CUST000026,2023-10-07,서울,공공,장기,기본
CUST000027,2023-08-03,강원,상업,1년,할인
CUST000028,2023-04-23,인천,주택,2년,프리미엄
CUST000029,2023-08-18,광주,산업,1년,기본
CUST000030,2023-10-29,대전,산업,장기,할인
CUST000031,2023-05-23,세종,상업,2년,할인
CUST000032,2023-01-04,인천,주택,장기,기본
CUST000033,2023-03-23,대구,산업,장기,프리미엄
CUST000034,2023-12-24,인천,상업,1년,할인
CUST000035,2023-08-05,광주,상업,장기,프리미엄
CUST000036,2023-06-24,대구,주택,2년,프리미엄
CUST000037,2023-05-23,세종,공공,장기,할인
CUST000038,2023-03-21,광주,상업,장기,기본
CUST000039,2023-04-21,경기,공공,1년,할인
CUST000040,2023-06-22,대전,공공,2년,할인
CUST000041,2023-02-22,세종,산업,1년,프리미엄
CUST000042,2023-02-17,경기,공공,장기,기본
CUST000043,2023-07-14,강원,주택,1년,프리미엄
CUST000044,2023-02-19,세종,산업,1년,할인
CUST000045,2023-07-03,강원,산업,1년,기본
CUST000046,2023-06-26,대구,산업,1년,기본
CUST000047,2023-11-06,경기,상업,장기,기본
CUST000048,2023-05-16,대전,상업,장기,기본
CUST000049,2023-01-23,광주,공공,2년,기본
CUST000050,2023-08-24,울산,산업,1년,할인
CUST000051,2023-10-02,인천,산업,1년,할인
CUST000052,2023-03-05,서울,주택,2년,할인
CUST000053,2023-07-13,대전,공공,1년,프리미엄
CUST000054,2023-02-10,경기,주택,2년,기본
CUST000055,2023-10-10,울산,공공,장기,기본
CUST000056,2023-05-31,대전,공공,2년,할인
CUST000057,2023-11-18,경기,상업,1년,기본
CUST000058,2023-11-13,부산,상업,2년,프리미엄
CUST000059,2023-07-05,부산,주택,장기,기본
CUST000060,2023-10-23,강원,공공,1년,기본
CUST000061,2023-04-09,대전,산업,장기,프리미엄
