고객ID,년월,사용량(㎥),요금(원),납부상태
CUST000001,2024-01,539.26,597415,납부
CUST000001,2024-02,301.64,310770,납부
CUST000001,2024-03,433.24,485345,납부
CUST000001,2024-04,581.28,596258,납부
CUST000001,2024-05,364.95,333486,납부
CUST000001,2024-06,490.22,468721,납부
CUST000001,2024-07,434.07,512437,면제
CUST000001,2024-08,587.08,697255,납부
CUST000001,2024-09,405.75,434415,납부
CUST000001,2024-10,469.96,542806,면제
CUST000001,2024-11,175.8,168020,납부
CUST000001,2024-12,517.08,544353,납부
CUST000002,2024-01,150.83,177219,납부
CUST000002,2024-02,209.07,240871,납부
CUST000002,2024-03,169.2,160919,납부
CUST000002,2024-04,188.95,222574,납부
CUST000002,2024-05,63.26,69559,납부
CUST000002,2024-06,132.58,133654,납부
CUST000002,2024-07,143.59,139315,납부
CUST000002,2024-08,191.57,213568,납부
CUST000002,2024-09,205.91,186842,납부
CUST000002,2024-10,138.45,163335,납부
CUST000002,2024-11,197.47,217666,납부
CUST000002,2024-12,192.48,183037,납부
CUST000003,2024-01,305.65,315555,납부
CUST000003,2024-02,192.47,190164,납부
CUST000003,2024-03,173.29,173992,납부
CUST000003,2024-04,184.56,176422,납부
CUST000003,2024-05,270.86,302027,납부
CUST000003,2024-06,126.49,150220,납부
CUST000003,2024-07,189.36,188989,납부
CUST000003,2024-08,211.61,228620,납부
CUST000003,2024-09,225.11,249262,납부
CUST000003,2024-10,83.72,96799,납부
CUST000003,2024-11,210.23,204052,납부
CUST000003,2024-12,163.22,193754,연체
CUST000004,2024-01,259.18,251490,납부
CUST000004,2024-02,389.71,364095,납부
CUST000004,2024-03,371.03,344258,납부
CUST000004,2024-04,694.94,669944,납부
CUST000004,2024-05,557.35,607587,납부
CUST000004,2024-06,666.1,784783,연체
CUST000004,2024-07,209.24,217167,납부
CUST000004,2024-08,519.05,566228,납부
CUST000004,2024-09,491.03,512585,연체
CUST000004,2024-10,488.24,522372,납부
CUST000004,2024-11,624.28,645634,납부
CUST000004,2024-12,219.87,201215,납부
CUST000005,2024-01,20.78,24694,납부
CUST000005,2024-02,19.18,19053,납부
CUST000005,2024-03,27.81,31240,연체
CUST000005,2024-04,39.52,39243,납부
CUST000005,2024-05,39.38,35962,납부
CUST000005,2024-06,25.96,28655,납부
CUST000005,2024-07,43.16,41404,납부
CUST000005,2024-08,9.01,9465,연체
CUST000005,2024-09,35.46,38762,납부
CUST000005,2024-10,26.45,29558,납부
CUST000005,2024-11,20.65,20944,납부
CUST000005,2024-12,22.19,22445,납부
CUST000006,2024-01,100.85,116357,납부
CUST000006,2024-02,167.73,174938,연체
CUST000006,2024-03,114.86,122921,연체
CUST000006,2024-04,249.51,297165,납부
